year,Загальний індекс споживчих цін (CPI),Індекс інфляції,Базовий індекс інфляції,        Deflators of gross domestic product by final use categories,Avg_Wage_UAH,Industrial Production Index,PPI_Index,PPI_MoM_Growth зміна індексу до попереднього місяця (Month-over-Month),PPI_YoY_Growth зміна індексу до аналогічного місяця минулого року (Year-over-Year)
2002,"103,3",,,,,,,,
2002,"101,9",,,,,,,,
2002,"101,2",,,,,,,,
2002,"102,6",,,,,,,,
2002,"102,3",,,,,,,,
2002,"100,5",,,,,,,,
2002,99,,,,,,,,
2002,"98,8",,,,,,,,
2002,99,,,,,,,,
2002,"99,7",,,,,,,,
2002,"100,4",,,,,,,,
2002,"101,8",,,,,,,,
2003,"103,3",,,,,,,,
2003,"104,4",,,,,,,,
2003,"105,6",,,,,,,,
2003,"106,3",,,,,,,,
2003,"106,3",,,,,,,,
2003,"106,4",,,,,,,,
2003,"106,3",,,,,,,,
2003,"104,5",,,,,,,,
2003,"105,2",,,,,,,,
2003,"106,5",,,,,,,,
2003,"108,5",,,,,,,,
2004,"110,2",,,,,,,,
2004,"111,7",,,,,,,,
2004,"112,2",,,,,,,,
2004,"112,6",,,,,,,,
2004,"113,4",,,,,,,,
2004,"114,2",,,,,,,,
2004,115,,,,,,,,
2004,115,,,,,,,,
2004,"114,9",,,,,,,,
2004,"116,4",,,,,,,,
2004,"118,9",,,,,,,,
2004,"120,8",,,,,,,,
2005,"123,7",,,,,,,,
2005,"125,8",,,,,,,,
2005,"127,1",,,,,,,,
2005,"129,1",,,,,,,,
2005,130,,,,,,,,
2005,"130,8",,,,,,,,
2005,"131,6",,,,,,,,
2005,132,,,,,,,,
2005,132,,,,,,,,
2005,"132,5",,,,,,,,
2005,"133,7",,,,,,,,
2005,"135,3",,,,,,,,
2005,"136,5",,,,,,,,
2006,"138,2",,,,,,,,
2006,"140,7",,,,,,,,
2006,"140,2",,,,,,,,
2006,"139,7",,,,,,,,
2006,"140,4",,,,,,,,
2006,"140,5",,,,,,,,
2006,"141,8",,,,,,,,
2006,"141,8",,,,,,,,
2006,"144,6",,,,,,,,
2006,"148,4",,,,,,,,
2006,151,,,,,,,,
2006,"152,4",,,,,,,,
2007,"153,2",,,,,,,,
2007,"154,1",,,,,,,,
2007,"154,4",,,,,,,,
2007,"154,4",,,,,,,,
2007,"155,3",,,,,,,,
2007,"158,7",,,,,,,,
2007,161,,,,,,,,
2007,"161,9",,,,,,,,
2007,"165,5",,,,,,,,
2007,"170,3",,,,,,,,
2007,174,,,,,,,,
2007,"177,7",,,,,,,,
2008,"182,8",,,,,,,,
2008,"187,8",,,,,,,,
2008,"194,9",,,,,,,,
2008,201,,,,,,,,
2008,"203,6",,,,,,,,
2008,"205,2",,,,,,,,
2008,"204,2",,,,,,,,
2008,204,,,,,,,,
2008,"206,2",,,,,,,,
2008,"209,7",,,,,,,,
2008,"212,9",,,,,,,,
2008,"217,3",,,,,,,,
2009,"138,3",,,,,,,,
2009,"140,4",,,,,,,,
2009,"142,3",,,,,,,,
2009,"143,6",,,,,,,,
2009,"144,3",,,,,,,,
2009,"145,9",,,,,,,,
2009,"145,8",,,,,,,,
2009,"145,5",,,,,,,,
2009,"146,6",,,,,,,,
2009,148,,,,,,,,
2009,"149,6",,,,,,,,
2009,"150,9",,,,,,101.9,,
2010,"153,7",,,,1916,89.2,101.9,0.0,
2010,"156,6",,,,1955,100.4,103.0,0.01079489695780178,
2010,158.0,,,,2109,114.8,103.0,0.0,
2010,"157,5",,,,2107,97.5,104.4,0.013592233009708687,
2010,"156,6",,,,2201,97.2,99.5,-0.046934865900383205,
2010,"155,9",,,,2373,101.9,99.8,0.0030150753768845018,
2010,"155,6",,,,2367,101.3,100.9,0.01102204408817653,
2010,"157,5",,,,2280,100.6,100.1,-0.007928642220019988,
2010,"162,1",,,,2349,103.8,102.4,0.022977022977023198,
2010,"162,9",,,,2322,106.3,99.7,-0.0263671875,
2010,"163,4",,,,2353,98.2,100.9,0.012036108324974926,
2010,"164,7",,,,2629,102.3,101.3,0.003964321110009772,-0.0058881256133465065
2011,"166,3",101,"100,3","87,1",2297,87.1,104.8,0.03455083909180656,0.028459273797840856
2011,"167,8","100,9","100,6","101,1",2338,101.1,102.1,-0.02576335877862601,-0.008737864077669966
2011,"170,2","101,4","100,8","113,2",2531,113.2,103.4,0.012732615083251853,0.003883495145631022
2011,"172,4","101,3","100,6","94,6",2533,94.6,102.6,-0.007736943907156735,-0.017241379310344973
2011,"173,8","100,8","100,6","100,3",2573,100.3,100.5,-0.020467836257309857,0.01005025125628145
2011,"174,5","100,4","100,6","100,9",2708,100.9,100.1,-0.003980099502487566,0.0030060120240480437
2011,"172,2","98,7","100,5","102,6",2749,102.6,100.5,0.003996003996004083,-0.003964321110009994
2011,"171,5","99,6","100,8","101,7",2694,101.7,101.2,0.006965174129353269,0.010989010989011172
2011,"171,7","100,1","100,8","101,7",2737,101.7,98.2,-0.029644268774703608,-0.041015625
2011,"171,7",100,"100,6","105,7",2729,105.7,100.6,0.024439918533604832,0.009027081243731194
2011,"171,8","100,1","100,3",97,2727,97.0,98.2,-0.02385685884691846,-0.026759167492566904
2011,"172,2","100,2","100,2","99,6",3054,99.6,99.2,0.010183299389002087,-0.02073050345508387
2012,"172,5","100,2",100,"89,2",2722,86.2,100.8,0.016129032258064502,-0.03816793893129766
2012,"172,9","100,2","100,1","100,4",2799,101.7,101.1,0.0029761904761904656,-0.009794319294809006
2012,"173,4","100,3","100,1","114,8",2923,110.1,103.7,0.02571711177052438,0.0029013539651836506
2012,"173,4",100,100,"97,5",2942,95.6,100.2,-0.03375120540019283,-0.023391812865496964
2012,"172,9","99,7","100,1","97,2",3015,102.0,100.7,0.004990019960079861,0.0019900497512437276
2012,"172,4","99,7","100,1","101,9",3109,97.9,97.1,-0.035749751737835234,-0.029970029970029954
2012,172,"99,8",100,"101,3",3151,104.3,100.5,0.03501544799176104,0.0
2012,"171,5","99,7",100,"100,6",3073,97.7,100.2,-0.0029850746268655914,-0.00988142292490124
2012,"171,7","100,1","100,1","103,8",3064,100.1,98.5,-0.01696606786427146,0.003054989816700493
2012,"171,7",100,"100,1","106,3",3110,107.1,100.0,0.015228426395939021,-0.005964214711729587
2012,"171,5","99,9","100,1","98,2",3098,97.3,98.5,-0.015000000000000013,0.003054989816700493
2012,"171,8","100,2","100,1","102,3",3377,96.4,100.3,0.018274111675126825,0.011088709677419262
2013,"108,5","100,2","99,9","88,9",3000,88.9,98.4,-0.018943170488534333,-0.023809523809523725
2013,"108,4","99,9","99,9","99,4",3044,99.4,102.2,0.03861788617886175,0.010880316518298905
2013,"108,4",100,100,111,3212,111.0,102.5,0.0029354207436398383,-0.011571841851494735
2013,"108,4",100,"99,9","98,5",3233,98.5,103.1,0.005853658536585371,0.02894211576846306
2013,"108,5","100,1",100,"94,4",3253,94.4,97.3,-0.0562560620756547,-0.03376365441906659
2013,"108,5",100,100,"101,6",3380,101.6,97.1,-0.0020554984583761593,0.0
2013,"108,4","99,9",100,"105,1",3429,105.1,101.2,0.04222451081359435,0.006965174129353269
2013,"107,6","99,3",100,"97,5",3304,97.5,100.2,-0.00988142292490124,0.0
2013,"107,6",100,"100,1","99,6",3261,99.6,100.2,0.0,0.01725888324873104
2013,"108,1","100,4","100,1","107,4",3283,107.4,98.7,-0.014970059880239472,-0.013000000000000012
2013,"108,3","100,2","100,1","97,4",3268,97.4,100.7,0.020263424518743633,0.022335025380710638
2013,"108,8","100,5","100,1","100,1",3619,100.1,100.5,-0.0019860973187686426,0.001994017946161497
2014,109,"100,2","99,9","84,6",3148,84.6,99.7,-0.007960199004975133,0.013211382113821113
2014,"109,7","100,6","99,8","100,5",3189,100.5,102.7,0.030090270812437314,0.004892367906066619
2014,"112,1","102,2","102,1",108,3398,108.0,106.1,0.033106134371956975,0.035121951219512226
2014,"115,9","103,3","102,8","98,9",3432,98.9,104.3,-0.016965127238454225,0.011639185257032114
2014,"120,3","103,8","102,3","98,6",3430,98.6,103.6,-0.006711409395973145,0.06474820143884896
2014,"121,51",101,"101,4","98,5",3601,98.5,102.7,-0.008687258687258614,0.057672502574665385
2014,"122,01","100,4","100,8","97,8",3537,97.8,102.6,-0.0009737098344694273,0.01383399209486158
2014,"123,01","100,8","101,2","88,1",3370,88.1,102.4,-0.0019493177387913674,0.021956087824351433
2014,"126,61","102,9","102,7","105,4",3481,105.4,99.3,-0.03027343750000011,-0.008982035928143728
2014,"129,61","102,4","102,7","107,3",3509,107.3,104.2,0.04934541792547842,0.05572441742654499
2014,"132,11","101,9","102,3",98,3534,98.0,100.0,-0.040307101727447225,-0.006951340615690249
2014,"136,01",103,"102,8","98,3",4012,98.3,102.3,0.02299999999999991,0.017910447761193993
2015,"140,2","103,1","102,6","81,6",3455,81.6,104.8,0.024437927663734094,0.051153460381143434
2015,"147,7","105,3","105,4","98,8",3633,98.8,110.5,0.05438931297709937,0.07594936708860756
2015,"163,6","110,8","110,8","109,8",3863,109.8,104.0,-0.05882352941176472,-0.01979264844486328
2015,"186,5",114,"104,6","97,9",3998,97.9,99.6,-0.04230769230769238,-0.04506232023010548
2015,"190,6","102,2","101,9","99,7",4042,99.7,100.6,0.010040160642570184,-0.02895752895752901
2015,"191,4","100,4","100,4","101,7",4299,101.7,102.0,0.013916500994035852,-0.006815968841285325
2015,"189,5",99,"99,9","103,5",4390,103.5,99.7,-0.022549019607843057,-0.02826510721247555
2015,188,"99,2","100,2",96,4205,96.0,102.0,0.02306920762286868,-0.00390625
2015,"192,3","102,3",103,"105,8",4343,105.8,97.6,-0.04313725490196085,-0.017119838872104776
2015,"189,8","98,7","100,8",107,4532,107.0,100.1,0.02561475409836067,-0.03934740882917476
2015,"193,6",102,"100,7","98,4",4498,98.4,100.3,0.0019980019980019303,0.0029999999999998916
2015,"194,9","100,7","100,4","101,2",5230,101.2,98.9,-0.01395812562313048,-0.03323558162267837
2016,"196,7","100,9",100,"81,4",4362,81.4,101.5,0.02628918099089983,-0.031488549618320594
2016,"195,9","99,6","100,4","108,2",4585,108.2,104.0,0.024630541871921263,-0.05882352941176472
2016,"197,9",101,"101,9","106,8",4920,106.8,103.6,-0.0038461538461539435,-0.0038461538461539435
2016,"204,8","103,5","100,6","96,6",4895,96.6,105.3,0.016409266409266543,0.05722891566265065
2016,205,"100,1","100,2","96,3",4984,96.3,100.0,-0.05033238366571702,-0.005964214711729587
2016,"204,6","99,8","99,9","97,9",5337,97.9,104.3,0.04299999999999993,0.022549019607843057
2016,"204,4","99,9","99,6",107,5374,107.0,100.2,-0.039309683604985546,0.005015045135406293
2016,"203,8","99,7","99,7","99,2",5202,99.2,102.6,0.0239520958083832,0.00588235294117645
2016,"207,4","101,8",102,"104,4",5358,104.4,105.4,0.02729044834308003,0.07991803278688536
2016,"213,2","102,8","100,9","105,7",5350,105.7,102.2,-0.030360531309297945,0.020979020979021046
2016,"217,1","101,8","100,5","100,8",5406,100.8,103.2,0.009784735812133016,0.02891326021934204
2016,219,"100,9",100,"101,9",6475,101.9,99.7,-0.03391472868217049,0.008088978766430666
2017,"221,4","101,1","100,4","82,5",6008,82.5,103.1,0.034102306920762215,0.015763546798029493
2017,"223,6",101,"100,7","97,8",6209,97.8,103.5,0.0038797284190106307,-0.004807692307692291
2017,"227,7","101,8","101,7","108,9",6752,108.9,101.6,-0.018357487922705418,-0.019305019305019266
2017,"229,7","100,9","100,6","93,1",6659,93.1,98.7,-0.028543307086614123,-0.06267806267806264
2017,"232,7","101,3","100,3","103,4",6840,103.4,99.4,0.007092198581560405,-0.005999999999999894
2017,"236,4","101,6","100,2","100,1",7360,100.1,101.8,0.024144869215291687,-0.023969319271332723
2017,"236,9","100,2","100,1","100,3",7339,100.3,100.4,-0.013752455795677743,0.001996007984031989
2017,"236,7","99,9","100,2",103,7114,103.0,101.6,0.01195219123505975,-0.00974658869395717
2017,"241,4",102,"101,9","102,5",7351,102.5,102.3,0.006889763779527547,-0.02941176470588247
2017,"244,3","101,2","101,2","106,9",7377,106.9,101.8,-0.004887585532746819,-0.00391389432485334
2017,"246,5","100,9",101,"100,3",7479,100.3,101.7,-0.0009823182711198308,-0.014534883720930258
2017,249,101,"100,8",101,8777,101.0,104.4,0.026548672566371723,0.04714142427281853
2018,"252,7","101,5","100,7","86,1",7711,86.1,101.2,-0.03065134099616862,-0.01842870999030055
2018,255,"100,9","100,6","96,5",7828,96.5,100.3,-0.008893280632411127,-0.030917874396135248
2018,"257,8","101,1","101,4","107,6",8382,107.6,100.0,-0.0029910269192422456,-0.015748031496062964
2018,"259,8","100,8","100,6",95,8480,95.0,100.8,0.008000000000000007,0.02127659574468077
2018,"259,8",100,"100,2","103,1",8725,103.1,101.1,0.0029761904761904656,0.017102615694164935
2018,"259,8",100,100,"100,2",9141,100.2,101.6,0.004945598417408492,-0.0019646365422396617
2018,258,"99,3","99,9","101,4",9170,101.4,101.3,-0.0029527559055118058,0.008964143426294813
2018,258,100,"100,1","99,5",8977,99.5,101.2,-0.0009871668311943749,-0.00393700787401563
2018,"262,9","101,9","101,9","101,7",9042,101.7,100.3,-0.008893280632411127,-0.019550342130987275
2018,"267,4","101,7","101,3",110,9218,110.0,101.7,0.013958125623130702,-0.0009823182711198308
2018,"271,1","101,4","101,1","97,9",9161,97.9,99.6,-0.020648967551622488,-0.020648967551622488
2018,"273,3","100,8","100,6","98,3",10573,98.3,101.0,0.014056224899598346,-0.03256704980842917
2019,276,101,"100,3","86,2",9223,86.2,101.0,0.0,-0.0019762845849802257
2019,"277,4","100,5","100,2","98,1",9429,98.1,99.0,-0.01980198019801982,-0.012961116650049842
2019,"279,9","100,9","101,2",112,10237,112.0,98.5,-0.005050505050505083,-0.015000000000000013
2019,"282,7",101,"100,4","98,2",10269,98.2,102.1,0.03654822335025365,0.012896825396825351
2019,"284,7","100,7","100,2","99,5",10239,99.5,97.3,-0.04701273261508321,-0.03758654797230465
2019,"283,3","99,5",100,"96,3",10783,96.3,103.6,0.06474820143884896,0.019685039370078705
2019,"281,6","99,4","99,9","103,6",10971,103.6,99.3,-0.04150579150579148,-0.019743336623889385
2019,"280,7","99,7","99,9","98,6",10537,98.6,98.5,-0.00805639476334341,-0.02667984189723327
2019,"282,7","100,7","101,2","101,7",10687,101.7,98.8,0.003045685279187804,-0.014955134596211339
2019,"284,7","100,7","100,7","105,6",10727,105.6,97.0,-0.018218623481781382,-0.046214355948869246
2019,285,"100,1","100,1","95,4",10679,95.4,96.4,-0.006185567010309256,-0.032128514056224744
2020,285,"99,8","99,7","98,3",12264,98.3,102.5,0.06327800829875518,0.014851485148514865
2020,"284,1","100,2","99,8","91,6",10727,91.6,100.1,-0.023414634146341484,-0.008910891089108919
2020,"286,4","99,7","99,9","100,4",10847,100.4,101.8,0.016983016983016963,0.028282828282828243
2020,"288,7","100,8","101,3","103,6",11446,103.6,100.1,-0.016699410609037346,0.01624365482233503
2020,"289,5","100,8","100,4","87,2",10430,87.2,99.4,-0.006993006993006867,-0.026444662095984173
2020,"290,1","100,3","100,1","104,9",10542,104.9,98.0,-0.014084507042253613,0.007194244604316502
2020,"288,4","100,2",100,"104,1",11579,104.1,100.4,0.02448979591836742,-0.030888030888030826
2020,"287,8","99,4","99,9","103,9",11804,103.9,102.3,0.018924302788844605,0.030211480362537735
2020,"289,2","99,8","100,1","96,5",11446,96.5,101.7,-0.0058651026392961825,0.03248730964467006
2020,"292,1","100,5","101,1","104,5",11998,104.5,103.8,0.020648967551622377,0.0506072874493928
2020,"295,9",101,"100,8","105,8",12174,105.8,102.0,-0.01734104046242768,0.05154639175257736
2020,"298,6","101,3","100,7","101,1",11987,101.1,101.8,-0.0019607843137254832,0.056016597510373245
2021,"302,5","100,9","100,3","102,8",14179,102.8,105.2,0.03339882121807469,0.02634146341463417
2021,"305,5","101,3","100,3","83,9",12337,83.9,107.8,0.024714828897338448,0.07692307692307687
2021,"310,7",101,"100,5","100,3",12549,100.3,101.6,-0.0575139146567718,-0.0019646365422396617
2021,"312,9","101,7","101,6","110,9",13612,110.9,101.2,-0.00393700787401563,0.010989010989011172
2021,"316,9","100,7","100,7","96,8",13543,96.8,103.6,0.02371541501976271,0.04225352112676051
2021,"317,6","101,3","100,7","96,6",13499,96.6,102.4,-0.011583011583011449,0.044897959183673564
2021,"317,9","100,2","100,4",100,14313,100.0,102.6,0.001953124999999778,0.021912350597609542
2021,"317,2","100,1","99,9","103,2",14345,103.2,105.4,0.02729044834308003,0.030303030303030498
2021,321,"99,8",100,"96,7",13997,96.7,100.7,-0.04459203036053139,-0.009832841691248762
2021,"323,9","101,2","101,3","102,9",14239,102.9,112.5,0.11717974180734858,0.08381502890173409
2021,"326,5","100,9",101,"107,8",14045,107.8,104.3,-0.07288888888888889,0.022549019607843057
2021,"328,5","100,8","100,8","100,1",14282,100.1,102.7,-0.015340364333652823,0.008840864440078589
2022,"332,8","100,6","100,4","101,1",17453,101.1,109.6,0.06718597857838349,0.041825095057034245
2022,"338,1","101,3","100,1",87,,87.0,97.9,-0.1067518248175181,-0.09183673469387743
2022,"353,3","101,6",101,"87,4",,87.4,100.2,0.023493360572012234,-0.013779527559054983
2022,"364,2","104,5","103,8","57,2",,57.2,99.1,-0.010978043912175717,-0.020750988142292592
2022,"374,1","103,1",103,"111,9",,111.9,101.0,0.019172552976791213,-0.025096525096525046
2022,"385,7","102,7","101,4","107,5",,107.5,104.6,0.035643564356435675,0.021484374999999778
2022,"388,4","103,1","101,6","100,3",,100.3,101.7,-0.027724665391969272,-0.00877192982456132
2022,"392,6","100,7","101,2","100,6",,100.6,105.6,0.03834808259587019,0.001897533206830948
2022,"400,1","101,1","102,1","101,9",,101.9,104.1,-0.014204545454545414,0.03376365441906648
2022,"410,1","101,9","102,4","102,3",,102.3,105.2,0.01056676272814605,-0.06488888888888888
2022,413,"102,5","101,9",105,,105.0,102.1,-0.029467680608365132,-0.021093000958772756
2022,"415,9","100,7","101,3","99,3",,99.3,102.3,0.0019588638589618235,-0.003894839337877376
2023,"419,2","100,7","100,8","96,3",,96.3,102.2,-0.0009775171065493637,-0.06751824817518237
2023,"422,1","100,8","100,7","95,1",,95.1,100.1,-0.020547945205479534,0.022471910112359383
2023,"428,5","100,7","100,5","104,4",,104.4,98.0,-0.020979020979020935,-0.021956087824351322
2023,"429,3","101,5","101,3","113,5",,113.5,98.3,0.003061224489795844,-0.008072653884964698
2023,"431,5","100,2","100,5","92,4",,92.4,98.0,-0.003051881993896166,-0.02970297029702973
2023,"434,9","100,5","100,3","106,7",,106.7,103.3,0.054081632653061096,-0.0124282982791587
2023,"432,3","100,8","99,9","97,5",,97.5,103.5,0.0019361084220717029,0.017699115044247815
2023,"426,3","99,4",100,101,,101.0,103.9,0.0038647342995170586,-0.01609848484848475
2023,"428,4","98,6",100,"101,9",,101.9,105.4,0.014436958614052031,0.012487992315081797
2023,"431,8","100,5","100,9","99,9",,99.9,103.0,-0.022770398481973486,-0.020912547528517123
2023,434,"100,8","100,4","109,6",,109.6,101.5,-0.014563106796116498,-0.005876591576885359
2023,437,"100,5","100,3","100,1",,100.1,98.5,-0.029556650246305383,-0.03714565004887582
2024,"438,8","100,7",100,"101,3",,101.3,97.0,-0.015228426395939132,-0.050880626223091974
2024,"440,1","100,4","100,4","90,1",,90.1,97.8,0.008247422680412342,-0.022977022977022976
2024,"442,3","100,3","100,4","99,3",,99.3,90.9,-0.07055214723926373,-0.07244897959183672
2024,"443,2","100,5",101,"106,3",,106.3,103.3,0.13641364136413636,0.05086469989827069
2024,"445,8","100,2","100,7","98,1",,98.1,107.2,0.037754114230396985,0.09387755102040818
2024,"455,6","100,6","100,3","98,5",,98.5,114.0,0.06343283582089554,0.10358180058083266
2024,"455,6","102,2","100,5","93,8",,93.8,108.8,-0.04561403508771933,0.051207729468599084
2024,"458,4",100,"100,7","99,5",,99.5,102.2,-0.06066176470588225,-0.016361886429258954
2024,"465,2","100,6","100,7","99,1",,99.1,102.2,0.0,-0.030360531309297945
2024,"473,6","101,5","101,7","105,5",,105.5,100.8,-0.013698630136986356,-0.021359223300970953
2024,"482,6","101,8","101,3","108,9",,108.9,101.1,0.0029761904761904656,-0.003940886699507429
2024,"489,4","101,9","101,2","97,9",,97.9,101.3,0.001978239366963397,0.028426395939086246
2025,"495,2","101,4","101,3","98,2",,98.2,100.6,-0.00691016781836129,0.03711340206185554
2025,"499,2","100,8","100,7",,,,101.1,0.00497017892644136,0.033742331288343586
