quarter_period,cpi_index,inflation_index,core_inflation_index,        Deflators of gross domestic product by final use categories,avg_wage_uah,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,year_month,inflation_index_seasonally_adjusted
2011-03-31,171.33333333333334,101.0,100.59999999999998,98.66666666666667,2481.3333333333335,98.66666666666667,101.73333333333333,-0.017989379647697503,-0.005309664043911133,,100.21
2011-06-30,172.73333333333335,99.56666666666666,100.63333333333333,101.73333333333333,2717.0,101.73333333333333,100.60000000000001,0.0023270262076232335,0.0033435673010163997,,100.21
2011-09-30,171.73333333333335,100.06666666666666,100.56666666666666,101.46666666666665,2731.0,101.46666666666665,99.0,-0.009687069696005733,-0.0195825704162786,,100.21
2011-12-31,172.2,100.2,100.2,99.6,3054.0,99.6,99.2,0.010183299389002,-0.0207305034550838,,100.21
2012-03-31,173.23333333333335,100.16666666666667,100.06666666666666,104.23333333333333,2888.0,102.46666666666665,101.66666666666667,-0.0016859677178260337,-0.010094926065040767,,99.96363636363635
2012-06-30,172.4333333333333,99.73333333333333,100.06666666666666,100.13333333333333,3091.6666666666665,101.39999999999999,99.43333333333334,0.0014185720713351991,-0.009326660072928733,,99.96363636363635
2012-09-30,171.63333333333333,99.93333333333334,100.06666666666666,103.56666666666666,3082.3333333333335,101.63333333333333,99.56666666666666,-0.0015742386983993,-0.0042635492733100995,,99.96363636363635
2012-12-31,171.65,100.05000000000001,100.1,100.25,3237.5,96.85,99.4,0.0016370558375634007,0.007071849747059799,,99.96363636363635
2013-03-31,108.43333333333334,100.03333333333335,99.93333333333334,99.76666666666667,3085.3333333333335,99.76666666666667,101.03333333333335,0.007536712144655734,-0.0081670163809065,,100.04166666666669
2013-06-30,108.46666666666665,100.03333333333335,99.96666666666665,98.16666666666667,3288.6666666666665,98.16666666666667,99.16666666666667,-0.017485967332481832,-0.0016071795502011672,,100.04166666666669
2013-09-30,107.86666666666667,99.73333333333333,100.03333333333335,100.73333333333333,3331.3333333333335,100.73333333333333,100.53333333333335,0.010781029296231035,0.008074685792694733,,100.04166666666669
2013-12-31,108.39999999999999,100.36666666666667,100.09999999999998,101.63333333333333,3390.0,101.63333333333333,99.96666666666665,0.0011024224399118663,0.003776347775624,,100.04166666666669
2014-03-31,112.56666666666666,102.03333333333335,101.56666666666666,102.46666666666665,3339.6666666666665,102.46666666666665,104.36666666666667,0.015410425981979997,0.01721783479420363,,101.96666666666668
2014-06-30,123.37666666666667,101.43333333333334,101.63333333333333,100.56666666666666,3539.6666666666665,100.56666666666666,101.53333333333335,-0.013311468673909366,0.0208414862471277,,101.96666666666668
2014-09-30,132.57666666666668,102.43333333333334,102.60000000000001,101.2,3685.0,101.2,102.16666666666667,0.010679438732677035,0.0222278415240162,,101.96666666666668
2014-12-31,,,,,,,,,,,
2015-03-31,180.23333333333335,109.0,105.76666666666667,102.46666666666665,3967.6666666666665,102.46666666666665,101.39999999999999,-0.030363687025628968,-0.03127083254416587,,102.93
2015-06-30,189.63333333333333,99.53333333333335,100.16666666666667,100.39999999999999,4298.0,100.39999999999999,101.23333333333333,0.0048122296696871325,-0.012995775351253602,,102.93
2015-09-30,191.9,101.0,101.5,103.73333333333333,4457.666666666667,103.73333333333333,99.33333333333333,-0.0051748329351994325,-0.017822415900426533,,102.93
2015-12-31,194.9,100.7,100.4,101.2,5230.0,101.2,98.9,-0.0139581256231304,-0.0332355816226783,,102.93
2016-03-31,199.53333333333333,101.36666666666667,100.96666666666665,103.86666666666667,4800.0,103.86666666666667,104.3,0.012397884811677933,-0.001813589198422667,,100.91000000000001
2016-06-30,204.66666666666666,99.93333333333334,99.89999999999999,100.39999999999999,5231.666666666667,100.39999999999999,101.5,-0.015547355756900865,0.007199950010506567,,100.91000000000001
2016-09-30,211.36666666666667,101.43333333333334,100.36666666666667,101.89999999999999,5319.333333333333,101.89999999999999,102.66666666666667,0.0011254334370727672,0.018591544713179798,,100.91000000000001
2016-12-31,219.0,100.9,100.0,101.9,6475.0,101.9,99.7,-0.0339147286821704,0.0080889787664306,,100.91
2017-03-31,227.0,101.23333333333333,101.0,99.93333333333334,6540.0,99.93333333333334,101.26666666666667,-0.014340355530102968,-0.028930258096924667,,101.07272727272726
2017-06-30,235.33333333333334,101.03333333333335,100.2,101.26666666666667,7179.666666666667,101.26666666666667,100.53333333333335,0.0058282040003914334,-0.009324437095766866,,101.07272727272726
2017-09-30,240.79999999999998,101.03333333333335,101.10000000000001,104.13333333333333,7280.666666666667,104.13333333333333,101.89999999999999,0.0046514564939468,-0.014357415908230933,,101.07272727272726
2017-12-31,247.75,100.95,100.9,100.65,8128.0,100.65,103.05000000000001,0.01278317714762595,0.01630327027594415,,101.07272727272726
2018-03-31,257.53333333333336,100.93333333333334,100.86666666666667,99.7,8230.0,99.7,100.36666666666667,-0.0012947691838844338,-0.0084631033825058,,100.71818181818183
2018-06-30,259.2,99.76666666666667,100.03333333333335,101.56666666666666,9012.0,101.56666666666666,101.33333333333333,0.0016563443293623331,0.0080340408594067,,100.71818181818183
2018-09-30,262.76666666666665,101.2,101.10000000000001,103.73333333333333,9079.0,103.73333333333333,101.06666666666666,0.0013592260531750996,-0.008156556092040865,,100.71818181818183
2018-12-31,272.20000000000005,101.1,100.85,98.1,9867.0,98.1,100.3,-0.003296371326012051,-0.026608008680025753,,100.71818181818183
2019-03-31,280.0,100.8,100.60000000000001,102.76666666666667,9978.333333333334,102.76666666666667,99.86666666666667,0.0038985793672429345,-0.0050214304177415,,100.32
2019-06-30,283.2,99.86666666666667,100.03333333333335,99.8,10664.333333333334,99.8,100.06666666666666,-0.007923440894008565,-0.012548281742038403,,100.32
2019-09-30,282.7,100.36666666666667,100.60000000000001,101.96666666666665,10650.333333333334,101.96666666666665,98.10000000000001,-0.0077431109886456325,-0.029283110814104563,,100.32
2019-12-31,285.0,100.1,100.1,95.4,10679.0,95.4,96.4,-0.0061855670103092,-0.0321285140562247,,100.32
2020-03-31,285.1666666666667,99.89999999999999,99.8,96.76666666666667,11279.333333333334,96.76666666666667,101.46666666666665,0.018948797045143535,0.011407807447411369,,100.2727272727273
2020-06-30,289.06666666666666,100.43333333333334,100.46666666666665,104.2,11189.0,104.2,99.5,-0.0020980405776411665,-0.0024833771537931004,,100.2727272727273
2020-09-30,289.7,99.89999999999999,100.36666666666667,101.63333333333333,11749.333333333334,101.63333333333333,102.60000000000001,0.011236055900390266,0.0377686924855335,,100.2727272727273
2020-12-31,297.25,101.15,100.75,103.44999999999999,12080.5,103.44999999999999,101.9,-0.0096509123880765,0.05378149463147525,,100.27272727272728
2021-03-31,308.7,101.2,100.8,104.66666666666667,13446.666666666666,104.66666666666667,102.66666666666667,-0.009350700437570933,0.011788612620468533,,100.72222222222224
2021-06-30,317.46666666666664,100.73333333333333,100.60000000000001,97.8,13785.0,97.8,102.86666666666667,0.004695176145583666,0.03635461030268117,,100.72222222222224
2021-09-30,322.23333333333335,100.23333333333333,100.23333333333333,100.0,14208.0,100.0,102.93333333333334,-0.010880648783701366,0.009770351017286733,,100.72222222222224
